userId;date;trafficSource;cost;value
user_1108;2020-01-03;google / cpc;8.25;0
user_1109;2020-01-07;google / cpc;8.25;0
user_1109;2020-01-12;telegram / posts;15.75;0
user_111;2020-01-04;telegram / posts;15.75;0
user_1111;2020-01-03;google / cpc;8.25;0
user_1112;2020-01-11;yandex / cpc;8.5;0
user_1112;2020-01-26;google / cpc;8.25;0
user_1114;2020-01-06;google / cpc;8.25;0
user_1116;2020-01-05;yandex / cpc;8.5;0
user_1117;2020-01-11;telegram / posts;15.75;0
user_1118;2020-01-09;telegram / posts;15.75;0
user_1118;2020-01-14;telegram / posts;15.75;0
user_1123;2020-01-12;yandex / cpc;8.5;0
user_1124;2020-01-04;google / cpc;8.25;0
user_1124;2020-01-06;facebook / video;10.25;0
user_1129;2020-01-13;google / cpc;8.25;0
user_1129;2020-01-28;telegram / posts;15.75;0
user_113;2020-01-14;telegram / posts;15.75;0
user_1130;2020-01-08;yandex / cpc;8.5;0
user_1130;2020-01-08;yandex / cpc;8.5;0
user_1131;2020-01-06;google / cpc;8.25;0
user_1136;2020-01-03;telegram / posts;15.75;0
user_1136;2020-01-04;yandex / cpc;8.5;0
user_1136;2020-01-09;facebook / video;10.25;0
user_114;2020-01-03;google / cpc;8.25;0
user_114;2020-01-03;telegram / posts;15.75;0
user_1140;2020-01-04;telegram / posts;15.75;0
user_1141;2020-01-05;google / cpc;8.25;0
user_1142;2020-01-03;telegram / posts;15.75;0
user_1144;2020-01-12;google / cpc;8.25;0
user_1145;2020-01-03;google / cpc;8.25;0
user_1145;2020-01-04;facebook / video;10.25;200
user_1145;2020-01-04;google / cpc;8.25;0
user_1145;2020-01-06;google / cpc;8.25;0
user_1145;2020-01-12;telegram / posts;15.75;207.5
user_1146;2020-01-03;facebook / video;10.25;0
user_1146;2020-01-10;telegram / posts;15.75;0
user_1148;2020-01-19;vk / display;14.75;0
user_1149;2020-01-04;yandex / cpc;8.5;0
user_1149;2020-01-05;yandex / cpc;8.5;0
user_1150;2020-01-04;google / cpc;8.25;0
user_1151;2020-01-03;google / cpc;8.25;0
user_1154;2020-01-21;facebook / video;10.25;0
user_1156;2020-01-03;telegram / posts;15.75;0
user_1157;2020-01-03;telegram / posts;15.75;0
user_1159;2020-01-07;vk / display;14.75;0
user_1159;2020-01-11;telegram / posts;15.75;0
user_1160;2020-01-03;facebook / video;10.25;0
user_1160;2020-01-03;facebook / video;10.25;0
user_1161;2020-01-13;google / cpc;8.25;225
user_1162;2020-01-07;google / cpc;8.25;0
user_1163;2020-01-04;facebook / video;10.25;0
user_1163;2020-01-05;google / cpc;8.25;100
user_1164;2020-01-07;yandex / cpc;8.5;0
user_1165;2020-01-03;facebook / video;10.25;0
user_1165;2020-01-03;telegram / posts;15.75;0
user_1166;2020-01-05;google / cpc;8.25;0
user_1166;2020-01-16;facebook / video;10.25;0
user_1167;2020-01-11;facebook / video;10.25;0
user_1169;2020-01-03;facebook / video;10.25;235
user_1169;2020-01-04;yandex / cpc;8.5;0
user_117;2020-01-05;google / cpc;8.25;92.5
user_1170;2020-01-05;yandex / cpc;8.5;0
user_1170;2020-01-06;yandex / cpc;8.5;0
user_1171;2020-02-16;telegram / posts;15.75;0
user_1172;2020-01-29;google / cpc;8.25;50
user_1174;2020-01-08;yandex / cpc;8.5;230
user_1177;2020-01-03;facebook / video;10.25;0
user_1178;2020-01-14;telegram / posts;15.75;0
user_1179;2020-01-03;facebook / video;10.25;0
user_1179;2020-01-14;yandex / cpc;8.5;155
user_118;2020-01-10;facebook / video;10.25;0
user_118;2020-02-04;yandex / cpc;8.5;0
user_1180;2020-01-11;facebook / video;10.25;0
user_1182;2020-01-03;telegram / posts;15.75;0
user_1182;2020-01-12;facebook / video;10.25;0
user_1184;2020-01-04;yandex / cpc;8.5;0
user_1190;2020-01-03;telegram / posts;15.75;0
user_1190;2020-01-04;facebook / video;10.25;0
user_1190;2020-01-08;yandex / cpc;8.5;0
user_1191;2020-01-05;yandex / cpc;8.5;0
user_1191;2020-01-08;telegram / posts;15.75;0
user_1193;2020-01-06;facebook / video;10.25;0
user_1195;2020-01-03;google / cpc;8.25;0
user_1196;2020-01-14;google / cpc;8.25;152.5
user_1199;2020-01-10;yandex / cpc;8.5;0
user_12;2020-01-03;vk / display;14.75;0
user_12;2020-01-03;google / cpc;8.25;0
user_120;2020-01-03;vk / display;14.75;0
user_1201;2020-01-31;telegram / posts;15.75;0
user_1202;2020-01-04;telegram / posts;15.75;0
user_1202;2020-01-29;google / cpc;8.25;0
user_1203;2020-01-03;yandex / cpc;8.5;0
user_1204;2020-01-05;yandex / cpc;8.5;0
user_1205;2020-01-04;telegram / posts;15.75;0
user_1205;2020-01-05;yandex / cpc;8.5;0
user_1206;2020-01-06;yandex / cpc;8.5;0
user_121;2020-01-06;telegram / posts;15.75;0
user_1211;2020-01-09;google / cpc;8.25;0
user_1212;2020-01-03;vk / display;14.75;0
user_1212;2020-01-03;telegram / posts;15.75;0
user_1213;2020-01-05;google / cpc;8.25;0
user_1214;2020-01-03;facebook / video;10.25;172.5
user_1217;2020-01-11;facebook / video;10.25;0
user_1219;2020-01-06;vk / display;14.75;72.5
user_122;2020-01-08;telegram / posts;15.75;0
user_1220;2020-01-03;facebook / video;10.25;0
user_1220;2020-01-06;google / cpc;8.25;0
user_1220;2020-02-07;google / cpc;8.25;0
user_1222;2020-01-10;google / cpc;8.25;0
user_1223;2020-01-04;facebook / video;10.25;0
user_1224;2020-01-10;google / cpc;8.25;0
user_1224;2020-01-27;google / cpc;8.25;0
user_1225;2020-01-11;telegram / posts;15.75;245
user_1227;2020-01-03;google / cpc;8.25;0
user_1227;2020-01-03;google / cpc;8.25;0
user_1227;2020-01-03;telegram / posts;15.75;0
user_1229;2020-01-03;google / cpc;8.25;0
user_1230;2020-01-06;facebook / video;10.25;0
user_1230;2020-02-06;google / cpc;8.25;0
user_1232;2020-01-18;facebook / video;10.25;0
user_1234;2020-01-20;yandex / cpc;8.5;0
user_1235;2020-01-04;telegram / posts;15.75;0
user_1236;2020-01-08;facebook / video;10.25;0
user_1237;2020-02-28;telegram / posts;15.75;0
user_1238;2020-01-05;telegram / posts;15.75;0
user_1239;2020-01-03;facebook / video;10.25;0
user_124;2020-01-04;facebook / video;10.25;0
user_1240;2020-01-05;facebook / video;10.25;0
user_1241;2020-01-03;yandex / cpc;8.5;0
user_1241;2020-01-04;google / cpc;8.25;0
user_1241;2020-01-05;telegram / posts;15.75;0
user_1241;2020-01-08;facebook / video;10.25;0
user_1242;2020-01-17;google / cpc;8.25;0
user_1242;2020-01-22;yandex / cpc;8.5;0
user_1245;2020-01-08;yandex / cpc;8.5;0
user_1248;2020-01-05;yandex / cpc;8.5;0
user_1253;2020-01-07;google / cpc;8.25;0
user_1253;2020-01-21;yandex / cpc;8.5;0
user_1254;2020-01-06;yandex / cpc;8.5;0
user_1256;2020-01-07;facebook / video;10.25;0
user_1256;2020-01-16;telegram / posts;15.75;0
user_1258;2020-01-09;telegram / posts;15.75;0
user_1258;2020-01-10;telegram / posts;15.75;0
user_1259;2020-01-04;telegram / posts;15.75;0
user_126;2020-01-13;telegram / posts;15.75;0
user_1260;2020-01-14;facebook / video;10.25;0
user_1262;2020-01-05;facebook / video;10.25;0
user_1262;2020-01-15;facebook / video;10.25;0
user_1265;2020-01-04;google / cpc;8.25;0
user_1266;2020-01-22;facebook / video;10.25;0
user_1267;2020-01-03;facebook / video;10.25;0
user_1267;2020-01-04;google / cpc;8.25;0
user_1268;2020-01-03;telegram / posts;15.75;0
user_1269;2020-01-04;google / cpc;8.25;0
user_1269;2020-01-07;yandex / cpc;8.5;0
user_1269;2020-02-04;google / cpc;8.25;0
user_127;2020-01-04;google / cpc;8.25;0
user_1270;2020-01-04;facebook / video;10.25;0
user_1271;2020-01-07;google / cpc;8.25;0
user_1272;2020-01-03;google / cpc;8.25;0
user_1272;2020-01-12;facebook / video;10.25;0
user_1273;2020-01-24;facebook / video;10.25;0
user_1274;2020-01-29;google / cpc;8.25;0
user_1276;2020-01-15;telegram / posts;15.75;182.5
user_1277;2020-01-18;telegram / posts;15.75;0
user_1277;2020-01-31;yandex / cpc;8.5;0
user_1277;2020-02-10;google / cpc;8.25;0
user_1278;2020-01-22;google / cpc;8.25;0
user_1278;2020-01-24;facebook / video;10.25;0
user_128;2020-01-26;facebook / video;10.25;0
user_1280;2020-01-28;google / cpc;8.25;0
user_1282;2020-01-07;facebook / video;10.25;0
user_1285;2020-01-03;yandex / cpc;8.5;0
user_1285;2020-01-07;telegram / posts;15.75;67.5
user_1285;2020-01-13;google / cpc;8.25;220
user_1285;2020-01-21;google / cpc;8.25;0
user_1286;2020-01-04;google / cpc;8.25;0
user_1288;2020-01-06;google / cpc;8.25;0
user_1289;2020-01-04;google / cpc;8.25;0
user_1290;2020-01-17;facebook / video;10.25;0
user_1291;2020-01-06;telegram / posts;15.75;0
user_1293;2020-01-03;google / cpc;8.25;0
user_1293;2020-01-04;yandex / cpc;8.5;0
user_1296;2020-01-04;telegram / posts;15.75;0
user_1296;2020-01-06;google / cpc;8.25;0
user_1297;2020-01-03;telegram / posts;15.75;210
user_1299;2020-01-14;yandex / cpc;8.5;0
user_13;2020-01-07;facebook / video;10.25;0
user_1302;2020-01-20;yandex / cpc;8.5;0
user_1304;2020-01-09;yandex / cpc;8.5;0
user_1305;2020-01-09;telegram / posts;15.75;0
user_1307;2020-01-06;google / cpc;8.25;0
user_1308;2020-01-04;facebook / video;10.25;0
user_131;2020-01-04;facebook / video;10.25;0
user_1310;2020-01-03;google / cpc;8.25;0
user_1312;2020-01-04;telegram / posts;15.75;0
user_1312;2020-02-02;google / cpc;8.25;0
user_1313;2020-01-10;facebook / video;10.25;0
user_1316;2020-01-03;google / cpc;8.25;0
user_1316;2020-01-06;yandex / cpc;8.5;0
user_1316;2020-01-06;telegram / posts;15.75;0
user_1316;2020-01-09;vk / display;14.75;0
user_1318;2020-02-08;google / cpc;8.25;0
user_1319;2020-01-08;yandex / cpc;8.5;0
user_1319;2020-01-09;google / cpc;8.25;0
user_132;2020-01-08;yandex / cpc;8.5;0
user_1321;2020-01-09;facebook / video;10.25;237.5
user_1322;2020-01-17;google / cpc;8.25;0
user_1323;2020-01-06;facebook / video;10.25;0
user_1324;2020-01-03;google / cpc;8.25;0
user_1324;2020-01-08;yandex / cpc;8.5;0
user_1324;2020-01-10;yandex / cpc;8.5;0
user_1324;2020-01-14;facebook / video;10.25;0
user_1326;2020-01-06;facebook / video;10.25;0
user_1327;2020-01-06;facebook / video;10.25;0
user_1328;2020-01-03;facebook / video;10.25;0
user_1329;2020-01-03;telegram / posts;15.75;0
user_1329;2020-01-15;telegram / posts;15.75;0
user_1329;2020-01-16;facebook / video;10.25;0
user_1330;2020-01-08;google / cpc;8.25;0
user_1330;2020-01-09;facebook / video;10.25;0
user_1331;2020-01-03;google / cpc;8.25;0
user_1333;2020-01-03;google / cpc;8.25;0
user_1334;2020-01-03;telegram / posts;15.75;0
user_1335;2020-01-18;facebook / video;10.25;0
user_1337;2020-01-20;telegram / posts;15.75;235
user_1338;2020-01-04;google / cpc;8.25;0
user_1340;2020-01-12;facebook / video;10.25;0
user_1341;2020-01-04;facebook / video;10.25;147.5
user_1341;2020-01-12;facebook / video;10.25;0
user_1342;2020-01-07;facebook / video;10.25;0
user_1342;2020-01-10;facebook / video;10.25;0
user_1344;2020-01-08;yandex / cpc;8.5;0
user_1344;2020-01-19;facebook / video;10.25;0
user_1345;2020-01-04;google / cpc;8.25;0
user_1347;2020-01-10;facebook / video;10.25;0
user_1348;2020-01-07;google / cpc;8.25;0
user_1350;2020-01-13;google / cpc;8.25;80
user_1350;2020-01-24;yandex / cpc;8.5;0
user_1351;2020-01-15;vk / display;14.75;0
user_1351;2020-01-20;facebook / video;10.25;0
user_1352;2020-01-17;facebook / video;10.25;0
user_1353;2020-01-04;yandex / cpc;8.5;0
user_1353;2020-01-04;google / cpc;8.25;0
user_1353;2020-01-08;facebook / video;10.25;0
user_1354;2020-01-05;telegram / posts;15.75;0
user_1354;2020-01-07;google / cpc;8.25;0
user_1354;2020-01-09;facebook / video;10.25;0
user_1355;2020-01-04;google / cpc;8.25;0
user_1355;2020-01-08;facebook / video;10.25;0
user_1356;2020-01-05;google / cpc;8.25;0
user_1356;2020-01-11;vk / display;14.75;0
user_1358;2020-02-20;telegram / posts;15.75;0
user_1359;2020-01-03;facebook / video;10.25;0
user_1359;2020-01-08;google / cpc;8.25;0
user_1361;2020-01-03;google / cpc;8.25;0
user_1361;2020-01-03;yandex / cpc;8.5;0
user_1367;2020-01-04;facebook / video;10.25;0
user_1367;2020-01-06;yandex / cpc;8.5;0
user_1367;2020-01-08;facebook / video;10.25;0
user_1369;2020-01-08;facebook / video;10.25;0
user_137;2020-01-12;google / cpc;8.25;0
user_1371;2020-01-08;facebook / video;10.25;132.5
user_1373;2020-01-03;yandex / cpc;8.5;0
user_1373;2020-01-05;google / cpc;8.25;0
user_1373;2020-01-10;facebook / video;10.25;75
user_1373;2020-01-14;telegram / posts;15.75;0
user_1374;2020-01-10;google / cpc;8.25;0
user_1374;2020-01-12;google / cpc;8.25;0
user_1374;2020-01-19;facebook / video;10.25;142.5
user_1375;2020-01-04;facebook / video;10.25;0
user_1375;2020-01-05;google / cpc;8.25;0
user_1376;2020-01-05;google / cpc;8.25;0
user_1376;2020-01-24;telegram / posts;15.75;92.5
user_1379;2020-01-12;telegram / posts;15.75;0
user_138;2020-01-13;facebook / video;10.25;0
user_1382;2020-01-07;telegram / posts;15.75;0
user_1382;2020-01-22;telegram / posts;15.75;0
user_1383;2020-01-03;facebook / video;10.25;0
user_1383;2020-01-04;facebook / video;10.25;0
user_1384;2020-01-04;telegram / posts;15.75;0
user_1387;2020-01-05;google / cpc;8.25;0
user_1387;2020-01-07;yandex / cpc;8.5;0
user_1389;2020-01-08;facebook / video;10.25;0
user_1389;2020-01-09;facebook / video;10.25;0
user_139;2020-01-03;google / cpc;8.25;190
user_1390;2020-01-03;google / cpc;8.25;0
user_1392;2020-01-09;telegram / posts;15.75;0
user_1393;2020-01-03;telegram / posts;15.75;0
user_1393;2020-01-20;vk / display;14.75;0
user_1394;2020-01-05;facebook / video;10.25;0
user_1395;2020-01-29;google / cpc;8.25;0
user_1396;2020-01-07;google / cpc;8.25;0
user_1396;2020-01-15;facebook / video;10.25;0
user_1398;2020-01-07;telegram / posts;15.75;0
user_1399;2020-01-04;yandex / cpc;8.5;205
user_140;2020-01-11;yandex / cpc;8.5;195
user_1400;2020-01-03;google / cpc;8.25;0
user_1401;2020-01-08;yandex / cpc;8.5;0
user_1402;2020-01-03;google / cpc;8.25;0
user_1403;2020-01-12;yandex / cpc;8.5;0
user_1403;2020-01-15;yandex / cpc;8.5;0
user_1404;2020-01-13;telegram / posts;15.75;0
user_1404;2020-02-16;facebook / video;10.25;0
user_1405;2020-01-03;facebook / video;10.25;0
user_1405;2020-01-10;telegram / posts;15.75;0
user_1409;2020-01-03;facebook / video;10.25;0
user_141;2020-01-04;telegram / posts;15.75;0
user_1410;2020-01-06;yandex / cpc;8.5;0
user_1410;2020-01-13;yandex / cpc;8.5;0
user_1412;2020-01-07;facebook / video;10.25;0
user_1413;2020-01-05;google / cpc;8.25;212.5
user_1415;2020-01-08;facebook / video;10.25;0
user_1416;2020-01-09;google / cpc;8.25;240
user_1417;2020-01-25;facebook / video;10.25;0
user_1417;2020-01-26;telegram / posts;15.75;0
user_142;2020-01-03;yandex / cpc;8.5;0
user_142;2020-01-08;facebook / video;10.25;222.5
user_142;2020-01-11;facebook / video;10.25;0
user_142;2020-01-18;google / cpc;8.25;0
user_142;2020-01-21;google / cpc;8.25;200
user_1421;2020-01-29;facebook / video;10.25;0
user_1425;2020-01-05;vk / display;14.75;0
user_1426;2020-01-05;google / cpc;8.25;0
user_1426;2020-01-07;facebook / video;10.25;0
user_1426;2020-01-08;telegram / posts;15.75;0
user_1427;2020-01-06;facebook / video;10.25;0
user_1428;2020-01-03;vk / display;14.75;0
user_1429;2020-01-03;telegram / posts;15.75;0
user_143;2020-01-03;yandex / cpc;8.5;0
user_1431;2020-01-04;facebook / video;10.25;0
user_1432;2020-01-06;google / cpc;8.25;0
user_1433;2020-01-11;telegram / posts;15.75;0
user_1434;2020-01-08;google / cpc;8.25;0
user_1436;2020-01-27;telegram / posts;15.75;0
user_1440;2020-01-28;telegram / posts;15.75;0
user_1441;2020-01-08;google / cpc;8.25;0
user_1441;2020-01-13;google / cpc;8.25;0
user_1442;2020-01-03;telegram / posts;15.75;0
user_1442;2020-01-04;facebook / video;10.25;0
user_1442;2020-01-04;telegram / posts;15.75;135
user_1442;2020-01-12;facebook / video;10.25;0
user_1445;2020-01-04;google / cpc;8.25;0
user_1447;2020-01-09;yandex / cpc;8.5;0
user_1447;2020-01-10;yandex / cpc;8.5;0
user_1447;2020-01-17;yandex / cpc;8.5;0
user_1448;2020-01-03;google / cpc;8.25;0
user_1448;2020-01-04;telegram / posts;15.75;0
user_1449;2020-01-11;yandex / cpc;8.5;0
user_1449;2020-01-18;facebook / video;10.25;0
user_145;2020-01-07;vk / display;14.75;237.5
user_145;2020-01-09;yandex / cpc;8.5;0
user_1450;2020-01-07;google / cpc;8.25;0
user_1450;2020-01-14;google / cpc;8.25;0
user_1451;2020-01-05;google / cpc;8.25;0
user_1454;2020-01-03;yandex / cpc;8.5;0
user_1454;2020-01-12;google / cpc;8.25;0
user_1454;2020-01-15;google / cpc;8.25;180
user_1455;2020-01-09;yandex / cpc;8.5;0
user_1456;2020-01-05;facebook / video;10.25;0
user_1456;2020-01-08;google / cpc;8.25;0
user_1456;2020-01-17;google / cpc;8.25;0
user_1457;2020-01-06;telegram / posts;15.75;0
user_1457;2020-01-07;telegram / posts;15.75;0
user_1457;2020-01-12;telegram / posts;15.75;0
user_1459;2020-01-03;facebook / video;10.25;0
user_1459;2020-01-19;google / cpc;8.25;0
user_1461;2020-01-05;google / cpc;8.25;0
user_1461;2020-01-05;telegram / posts;15.75;0
user_1461;2020-01-08;facebook / video;10.25;0
user_1461;2020-01-17;yandex / cpc;8.5;0
user_1462;2020-01-10;facebook / video;10.25;0
user_1463;2020-01-07;facebook / video;10.25;0
user_1465;2020-01-04;google / cpc;8.25;0
user_1465;2020-01-04;telegram / posts;15.75;0
user_1467;2020-01-10;yandex / cpc;8.5;0
user_1468;2020-01-09;google / cpc;8.25;0
user_1471;2020-01-06;telegram / posts;15.75;0
user_1471;2020-01-16;yandex / cpc;8.5;0
user_1472;2020-01-04;telegram / posts;15.75;175
user_1473;2020-01-04;telegram / posts;15.75;0
user_1475;2020-01-03;facebook / video;10.25;0
user_1475;2020-01-05;vk / display;14.75;0
user_1475;2020-01-08;google / cpc;8.25;167.5
user_1478;2020-01-07;facebook / video;10.25;0
user_148;2020-01-07;telegram / posts;15.75;0
user_148;2020-01-13;telegram / posts;15.75;0
user_1481;2020-01-03;telegram / posts;15.75;0
user_1481;2020-01-10;google / cpc;8.25;0
user_1482;2020-01-03;google / cpc;8.25;0
user_1482;2020-01-03;facebook / video;10.25;0
user_1482;2020-01-04;vk / display;14.75;0
user_1482;2020-01-06;google / cpc;8.25;0
user_1482;2020-02-06;facebook / video;10.25;0
user_1483;2020-01-08;facebook / video;10.25;0
user_1483;2020-01-10;yandex / cpc;8.5;0
user_1483;2020-01-10;google / cpc;8.25;0
user_1483;2020-01-14;vk / display;14.75;0
user_1485;2020-01-03;facebook / video;10.25;247.5
user_1485;2020-01-03;google / cpc;8.25;0
user_1485;2020-01-12;telegram / posts;15.75;0
user_1487;2020-01-03;google / cpc;8.25;102.5
user_1489;2020-01-03;facebook / video;10.25;0
user_1489;2020-01-04;google / cpc;8.25;0
user_1489;2020-01-04;telegram / posts;15.75;0
user_1489;2020-01-06;facebook / video;10.25;0
user_1490;2020-01-05;google / cpc;8.25;0
user_1491;2020-01-04;facebook / video;10.25;0
user_1491;2020-01-15;telegram / posts;15.75;0
user_1492;2020-01-04;telegram / posts;15.75;0
user_1492;2020-01-04;google / cpc;8.25;0
user_1495;2020-01-03;telegram / posts;15.75;172.5
user_1498;2020-01-07;google / cpc;8.25;0
user_1499;2020-01-06;telegram / posts;15.75;0
user_1499;2020-01-12;google / cpc;8.25;0
user_150;2020-01-05;facebook / video;10.25;0
user_150;2020-01-07;telegram / posts;15.75;0
user_1503;2020-01-04;google / cpc;8.25;0
user_1503;2020-01-23;google / cpc;8.25;0
user_1504;2020-01-09;facebook / video;10.25;0
user_1505;2020-01-03;telegram / posts;15.75;0
user_1506;2020-01-10;telegram / posts;15.75;0
user_1507;2020-01-04;yandex / cpc;8.5;0
user_1507;2020-01-21;google / cpc;8.25;0
user_1508;2020-01-04;yandex / cpc;8.5;0
user_1508;2020-01-11;google / cpc;8.25;0
user_1509;2020-01-09;google / cpc;8.25;0
user_1510;2020-01-03;facebook / video;10.25;0
user_1510;2020-01-05;facebook / video;10.25;0
user_1510;2020-01-10;google / cpc;8.25;0
user_1511;2020-01-06;facebook / video;10.25;0
user_1513;2020-01-03;yandex / cpc;8.5;0
user_1517;2020-01-03;google / cpc;8.25;0
user_1517;2020-01-09;facebook / video;10.25;0
